0	0	0
-1	1	-1
0	2	-2
-1	3	-1
0	4	-2
1	5	-3
0	4	-2
-1	5	-3
0	4	-2
-1	5	-1
-2	4	-2
-3	5	-1
-4	4	0
-5	3	1
-6	2	2
-5	3	3
-6	4	4
-7	5	3
-8	6	4
-9	7	5
-8	6	4
-9	5	3
-10	4	2
-9	5	1
-10	4	0
-9	5	-1
-8	4	-2
-7	3	-1
-6	4	-2
-7	5	-1
-8	6	0
-7	5	1
-6	6	2
-7	5	1
-8	6	0
-7	7	-1
-8	8	-2
-7	9	-1
-8	8	0
-7	9	1
-6	8	2
-5	7	3
-6	8	4
-7	7	5
-8	8	6
-9	7	5
-8	6	4
-9	5	5
-8	4	4
-7	5	5
-6	4	4
-7	5	3
-8	6	2
-9	7	3
-10	8	4
-9	9	3
-8	8	2
-7	7	1
-8	6	2
-9	5	3
-10	4	2
-11	3	1
-10	2	0
-11	3	1
-12	4	0
-11	3	-1
-10	2	0
-11	3	1
-12	2	2
-13	3	1
-14	4	2
-13	3	1
-12	2	2
-11	1	1
-10	0	0
-9	1	1
-10	0	0
-11	1	-1
-10	0	0
-9	-1	-1
-8	0	0
-9	-1	1
-8	-2	0
-7	-3	1
-6	-2	2
-7	-3	1
-8	-4	0
-9	-3	1
-8	-2	2
-9	-1	1
-8	-2	0
-9	-1	1
-10	0	2
-11	-1	1
-10	-2	0
-11	-3	1
-10	-4	0
-9	-5	1
-10	-4	0
-9	-3	1
